,ds,y
0,18:01:2018 0:10:01,94.11
1,18:01:2018 0:06:01,83.67
2,18:01:2018 0:09:01,90.63
3,18:01:2018 0:12:01,89.3
4,18:01:2018 0:15:01,84.86
5,18:01:2018 0:18:01,95.37
6,18:01:2018 0:21:01,83.51
7,18:01:2018 0:24:01,90.84
8,18:01:2018 0:27:01,89.55
9,18:01:2018 0:30:01,85.18
10,18:01:2018 0:33:01,95.37
11,18:01:2018 0:36:01,83.61
12,18:01:2018 0:39:01,88.79
13,18:01:2018 0:42:01,89.18
14,18:01:2018 0:45:01,84.34
15,18:01:2018 0:48:01,95.57
16,18:01:2018 0:51:01,83.35
17,18:01:2018 0:54:01,91.03
18,18:01:2018 0:57:02,89.07
19,18:01:2018 1:00:01,84.55
20,18:01:2018 1:03:01,94.88
21,18:01:2018 1:06:01,83.1
22,18:01:2018 1:09:01,90.84
23,18:01:2018 1:12:01,89.47
24,18:01:2018 1:15:01,84.98
25,18:01:2018 1:18:01,95.14
26,18:01:2018 1:21:01,83.84
27,18:01:2018 1:24:01,90.2
28,18:01:2018 1:27:01,89.38
29,18:01:2018 1:30:01,84.52
30,18:01:2018 1:33:01,95.82
31,18:01:2018 1:36:01,83.31
32,18:01:2018 1:39:01,90.78
33,18:01:2018 1:42:01,88.84
34,18:01:2018 1:45:02,84.66
35,18:01:2018 1:48:01,95.58
36,18:01:2018 1:51:01,83.63
37,18:01:2018 1:54:01,90.89
38,18:01:2018 1:57:01,89.28
39,18:01:2018 2:00:01,85.08
40,18:01:2018 2:03:01,95.01
41,18:01:2018 2:06:01,84.11
42,18:01:2018 2:09:01,90.32
43,18:01:2018 2:12:01,89.23
44,18:01:2018 2:15:01,84.19
45,18:01:2018 2:18:01,95.95
46,18:01:2018 2:21:01,83.1
47,18:01:2018 2:24:01,90.71
48,18:01:2018 2:27:01,89.61
49,18:01:2018 2:30:01,84.57
50,18:01:2018 2:33:01,95.81
51,18:01:2018 2:36:01,83.71
52,18:01:2018 2:39:01,90.11
53,18:01:2018 2:42:01,89.99
54,18:01:2018 2:45:01,84.9
55,18:01:2018 2:48:01,95.32
56,18:01:2018 2:51:01,83.88
